AC_NO,AC_NAME,DT_CODE,DIST_NAME,PC_NO,PC_NAME,no.,constituency,no._of_voters,turn_out,winner,winner_party,winner_votes,winner_alliance,runner_up,runner_up_party,runner_up_votes,runner_up_alliance,third,third_party,third_votes,third_alliance,fourth,fourth_party,fourth_votes,fourth_alliance,lead
109,Mavelikara,11.0,ALAPPUZHA,16,MAVELIKKARA (SC),109,Mavelikara,198281,149742,R. Rajesh,CPIM,74555,LDF,Baiju Kalasala,INC,43013,UDF,P. M. Velayudhan,BJP,30929,NDA,T. Asha,SUCIC,242,,31542
110,Chengannur,11.0,ALAPPUZHA,16,MAVELIKKARA (SC),110,Chengannur,197149,145524,K. K. Ramachandran Nair,CPIM,52880,LDF,P. C Vishnunath,INC,44897,UDF,P. S. Sreedharan Pillai,BJP,42682,NDA,Sobhana George,IND,3966,IND,7983
111,Thiruvalla,12.0,PATHANAMTHITTA,17,PATHANAMTHITTA,111,Thiruvalla,208586,144560,Mathew T. Thomas,JDS,59660,LDF,Joseph M. Puthussery,KCM,51398,UDF,Akkeraman Kalidasan Bhattathiripad,BDJS,31439,NDA,Saji Kadampanad,BSP,756,,8262
112,Ranni,12.0,PATHANAMTHITTA,17,PATHANAMTHITTA,112,Ranni,190045,133960,Raju Abraham,CPIM,58749,LDF,Mariamma Cherian,INC,44153,UDF,K. Padmakumar,BDJS,28201,NDA,Prasad Uthimoodu,BSP,1072,,14596
113,Aranmula,12.0,PATHANAMTHITTA,17,PATHANAMTHITTA,113,Aranmula,227692,161465,Veena George,CPIM,64523,LDF,K. Sivadasan Nair,INC,56877,UDF,M. T. Ramesh,BJP,37906,NDA,T. Amrithakumar,BSP,548,,7646
114,Konni,12.0,PATHANAMTHITTA,17,PATHANAMTHITTA,114,Konni,196183,143299,Adoor Prakash,INC,72800,UDF,R. Sanal Kumar,CPIM,52052,LDF,D. Asoka Kumar,BJP,16713,NDA,Reyash,SDPI,401,,20748
115,Adoor,12.0,PATHANAMTHITTA,17,PATHANAMTHITTA,115,Adoor,208317,155021,Chittayam Gopakumar,CPI,76034,LDF,K. K. Shaju,INC,50574,UDF,P. Sudheer,BJP,25940,NDA,Jyothish Perumpulickal,SDPI,673,,25460
116,Karunagappally,13.0,KOLLAM,15,ALAPPUZHA,116,Karunagappally,204473,162351,R. Ramachandran,CPI,69902,LDF,C. R. Mahesh,INC,68143,UDF,V. Sadhasivan,BDJS,19115,NDA,A. K. Salahudheen,SDPI,1738,,1759
117,Chavara,13.0,KOLLAM,18,KOLLAM,117,Chavara,175844,138197,N. Vijayan Pillai,CMPA,64666,LDF,Shibu Baby john,RSP,58477,UDF,M. Sunil,BJP,10276,NDA,Shahul Thengumthara,PDP,1439,,6189
118,Kunnathur,13.0,KOLLAM,16,MAVELIKKARA (SC),118,Kunnathur,208502,159830,Kovoor Kunjumon,RSPL,75725,LDF,Ullas Kovur,RSP,55196,UDF,Thazhava Sahadevan,BDJS,21742,NDA,Thulaseedharan Pallickal,SDPI,1698,,20529
119,Kottarakkara,13.0,KOLLAM,16,MAVELIKKARA (SC),119,Kottarakkara,200527,150513,P. Aisha Potty,CPIM,83443,LDF,Savin Sathyan,INC,40811,UDF,Rajeswary Rajendran,BJP,24062,NDA,B. Madhu,IND,491,IND,42632
120,Pathanapuram,13.0,KOLLAM,16,MAVELIKKARA (SC),120,Pathanapuram,189785,142058,K. B. Ganesh Kumar,KCB,74429,LDF,P. V. Jagadishkumar,INC,49867,UDF,Reghu Damodharan (Bheeman Reghu),BJP,11700,NDA,Faizy M. Pasha,SDPI,3843,,24562
121,Punaloor,13.0,KOLLAM,18,KOLLAM,121,Punaloor,204579,144490,K. Raju,CPI,82136,LDF,A. Younus Kunju,IUML,48554,UDF,Sissil Fernandez,KCTH,10558,NDA,K. Sasankan,SUCIC,1117,,33582
122,Chadayamangalam,13.0,KOLLAM,18,KOLLAM,122,Chadayamangalam,196703,145167,Mullakkara Retnakaran,CPI,71262,LDF,M. M. Hassan,INC,49334,UDF,K. Sivadasan,BJP,19259,NDA,Jaleel Kadakkal,SDPI,1445,,21928
123,Kundara,13.0,KOLLAM,18,KOLLAM,123,Kundara,200098,152584,J. Mercy Kutty Amma,CPIM,79047,LDF,Rajmohan Unnithan,INC,48587,UDF,M. S. Syama Kumar,BJP,20257,NDA,Sharafath Mallam,SDPI,1325,,30460
124,Kollam,13.0,KOLLAM,18,KOLLAM,124,Kollam,172499,129288,M. Mukesh,CPIM,63103,LDF,Sooraj Ravi,INC,45492,UDF,K. Sasikumar,NDA,17409,NDA,Johnson Kandachira,SDPI,1576,,17611
